,match_name,selection,market_type,handicap,commence_time,status,result_score
668,Milwaukee Bucks vs New Orleans Pelicans,Milwaukee Bucks,Spread,3.5,2026-02-05 01:00:00+00:00,Won,Milwaukee Bucks 141 - 137 New Orleans Pelicans
672,Toronto Raptors vs Minnesota Timberwolves,Minnesota Timberwolves,Spread,-2.5,2026-02-05 00:30:00+00:00,Lost,Toronto Raptors 126 - 128 Minnesota Timberwolves
675,New York Knicks vs Denver Nuggets,New York Knicks,Spread,-7.5,2026-02-05 00:00:00+00:00,Lost,New York Knicks 134 - 127 Denver Nuggets
676,Los Angeles Clippers vs Cleveland Cavaliers,Cleveland Cavaliers,Spread,-3.5,2026-02-05 03:30:00+00:00,Won,Los Angeles Clippers 91 - 124 Cleveland Cavaliers
704,Dallas Mavericks vs San Antonio Spurs,San Antonio Spurs,Spread,-8.5,2026-02-06 01:30:00+00:00,Won,Dallas Mavericks 123 - 135 San Antonio Spurs
705,Toronto Raptors vs Chicago Bulls,Toronto Raptors,Spread,-9.5,2026-02-06 00:30:00+00:00,Won,Toronto Raptors 123 - 107 Chicago Bulls
710,Atlanta Hawks vs Utah Jazz,Utah Jazz,Spread,8.5,2026-02-06 00:30:00+00:00,Won,Atlanta Hawks 121 - 119 Utah Jazz
749,Portland Trail Blazers vs Memphis Grizzlies,Portland Trail Blazers,Spread,-8.5,2026-02-07 03:00:00+00:00,Lost,Portland Trail Blazers 122 - 115 Memphis Grizzlies
756,Boston Celtics vs Miami Heat,Boston Celtics,Spread,-8.5,2026-02-07 00:30:00+00:00,Lost,Boston Celtics 98 - 96 Miami Heat
762,Minnesota Timberwolves vs New Orleans Pelicans,Minnesota Timberwolves,Spread,-12.5,2026-02-07 01:00:00+00:00,Lost,Minnesota Timberwolves 115 - 119 New Orleans Pelicans
794,Sacramento Kings vs Cleveland Cavaliers,Cleveland Cavaliers,Spread,-13.5,2026-02-08 03:00:00+00:00,Lost,Sacramento Kings 126 - 132 Cleveland Cavaliers
795,Atlanta Hawks vs Charlotte Hornets,Charlotte Hornets,Spread,-3.5,2026-02-08 00:30:00+00:00,Won,Atlanta Hawks 119 - 126 Charlotte Hornets
796,San Antonio Spurs vs Dallas Mavericks,Dallas Mavericks,Spread,8.5,2026-02-07 23:00:00+00:00,Lost,San Antonio Spurs 138 - 125 Dallas Mavericks
867,Golden State Warriors vs Memphis Grizzlies,Memphis Grizzlies,Spread,5.5,2026-02-10 03:00:00+00:00,Won,Golden State Warriors 114 - 113 Memphis Grizzlies
868,Charlotte Hornets vs Detroit Pistons,Charlotte Hornets,Spread,1.5,2026-02-10 00:00:00+00:00,Lost,Charlotte Hornets 104 - 110 Detroit Pistons
869,Brooklyn Nets vs Chicago Bulls,Brooklyn Nets,Spread,2.5,2026-02-10 00:30:00+00:00,Won,Brooklyn Nets 123 - 115 Chicago Bulls
879,Los Angeles Lakers vs Oklahoma City Thunder,Oklahoma City Thunder,Spread,-7.5,2026-02-10 03:00:00+00:00,Won,Los Angeles Lakers 110 - 119 Oklahoma City Thunder
933,Los Angeles Lakers vs San Antonio Spurs,San Antonio Spurs,Spread,-9.5,2026-02-11 03:30:00+00:00,Won,Los Angeles Lakers 108 - 136 San Antonio Spurs
938,New York Knicks vs Indiana Pacers,Indiana Pacers,Spread,10.5,2026-02-11 00:30:00+00:00,Won,New York Knicks 134 - 137 Indiana Pacers
939,Phoenix Suns vs Dallas Mavericks,Phoenix Suns,Spread,-9.5,2026-02-11 02:00:00+00:00,Lost,Phoenix Suns 120 - 111 Dallas Mavericks
968,Charlotte Hornets vs Atlanta Hawks,Atlanta Hawks,Spread,3.5,2026-02-12 00:00:00+00:00,Won,Charlotte Hornets 110 - 107 Atlanta Hawks
969,Golden State Warriors vs San Antonio Spurs,San Antonio Spurs,Spread,-8.5,2026-02-12 03:00:00+00:00,Won,Golden State Warriors 113 - 126 San Antonio Spurs
970,Brooklyn Nets vs Indiana Pacers,Brooklyn Nets,Spread,-5.5,2026-02-12 00:30:00+00:00,Lost,Brooklyn Nets 110 - 115 Indiana Pacers
977,Houston Rockets vs Los Angeles Clippers,Houston Rockets,Spread,-9.5,2026-02-12 01:00:00+00:00,Lost,Houston Rockets 102 - 105 Los Angeles Clippers
987,New Orleans Pelicans vs Miami Heat,Miami Heat,Spread,-2.5,2026-02-12 01:00:00+00:00,Won,New Orleans Pelicans 111 - 123 Miami Heat
1053,Los Angeles Lakers vs Dallas Mavericks,Los Angeles Lakers,Spread,-8.5,2026-02-13 03:00:00+00:00,Won,Los Angeles Lakers 124 - 104 Dallas Mavericks
1074,Sacramento Kings vs Orlando Magic,Orlando Magic,Spread,-10.5,2026-02-20 03:00:00+00:00,Won,Sacramento Kings 94 - 131 Orlando Magic
1075,Golden State Warriors vs Boston Celtics,Boston Celtics,Spread,-6.5,2026-02-20 03:00:00+00:00,Won,Golden State Warriors 110 - 121 Boston Celtics
1076,Los Angeles Clippers vs Denver Nuggets,Denver Nuggets,Spread,-5.5,2026-02-20 03:30:00+00:00,Lost,Los Angeles Clippers 115 - 114 Denver Nuggets
1109,New Orleans Pelicans vs Milwaukee Bucks,Milwaukee Bucks,Spread,2.5,2026-02-21 01:00:00+00:00,Won,New Orleans Pelicans 118 - 139 Milwaukee Bucks
1113,Washington Wizards vs Indiana Pacers,Indiana Pacers,Spread,-3.5,2026-02-21 00:00:00+00:00,Lost,Washington Wizards 131 - 118 Indiana Pacers
1114,Oklahoma City Thunder vs Brooklyn Nets,Brooklyn Nets,Spread,15.5,2026-02-21 01:00:00+00:00,Lost,Oklahoma City Thunder 105 - 86 Brooklyn Nets
